TF,correlation_kendall,p_value_kendall,negative_log_p_value_kendall
ATF1,0.038857882448871874,2.2375941700830705e-28,27.65021867816319
ATF2,-0.008996900791674606,0.015426381748210205,1.8117359255931134
ATF3,-0.07390262900092234,5.00959192623933e-98,97.3001976496618
ATF5,-0.009191810119821345,0.013669102223138897,1.8642600086465624
BACH2,-0.08436430912533435,3.440492476253399e-103,102.46337938754152
BATF,-0.002407397635733941,0.49430262045120044,0.3060070872036378
BCL11A,0.008090185502934062,0.045350911526487056,1.3434139794540507
BHLHE41,-0.052672559676918605,1.0757719048285018e-50,49.96827980206689
CEBPA,-0.009866263886602777,0.005030189281524867,2.2984156725235705
CEBPB,-0.08136139343998226,2.1518358701223864e-118,117.66719085727077
CEBPD,-0.061542189656799744,6.843864564648287e-67,66.16469859343367
CEBPG,0.004756326150144023,0.21613385600616164,0.6652771982949555
CREB3,-0.024073565677731296,6.705816317223661e-11,10.173548346748046
CREB3L2,-0.05918920743420028,1.4980443472489124e-63,62.82447532984055
CREB3L3,0.036416315947476775,4.480020262583697e-24,23.34872002173659
CREBZF,0.011055263338716448,0.004069478296490625,2.3904612633737767
DBP,-0.05365623723696892,5.351438778084119e-49,48.27152943865604
E2F1,0.07482234599049227,1.9356702605567363e-100,99.71316862234649
E2F2,0.13623411267539554,0.0,300.0
E2F4,0.07578127467048701,5.602625073290639e-103,102.2516084394723
E2F6,-0.03772482079485899,6.178875971079681e-26,25.20909052231517
E2F7,0.1387741230965347,0.0,300.0
E2F8,0.15249926237022693,0.0,300.0
EGR1,-0.039480246592175784,3.048242622719021e-29,28.515950468594074
ELF1,-0.0944931276790373,5.187958433168463e-159,158.28500351221746
ELF3,0.0021880805301340363,0.607419965776952,0.21651093700740107
ELF4,-0.055782007298275156,1.2015617147117781e-56,55.920253918018254
ELK1,0.009948148300692608,0.004675029770038786,2.3302156192465637
ELK3,-0.06774397996766492,1.1189693301821429e-82,81.95118181688112
ELK4,-0.07084278156838114,3.0883985519258618e-90,89.51026665984755
EOMES,0.016000264764436393,5.381468326613888e-06,5.269099211481898
ESRRA,-0.00998568703989518,0.004932962906210769,2.306892150235922
ETS1,-0.08681034408086706,1.6030632352709059e-134,133.79504934590065
ETS2,-0.02228102228893729,2.4589202875807823e-10,9.609255549839943
ETV2,-0.00683440322175022,0.09613636744356321,1.0171122919121824
ETV3,-0.08602466271919723,4.019646439106717e-132,131.39581214499955
ETV4,-0.002024019970833758,0.6236498609011627,0.20505917018527778
ETV5,0.01183430577219293,0.002263921915398846,2.6451385564131913
ETV6,-0.048720063724308114,6.0467494614370665e-31,30.218478025402575
ETV7,-0.06093816736104462,3.033093757804966e-67,66.5181141647411
FLI1,-0.009511400579328937,0.006841495724872319,2.1648489400861095
FOS,-0.08995630315882065,2.8886647533389886e-144,143.53930285767925
FOSB,-0.04770356204734755,1.0554969438984246e-36,35.976543019817214
FOSL2,-0.013280022564618065,0.00016397378232754968,3.785225585493099
FOXM1,0.14348401597638621,0.0,300.0
FOXP3,-0.08090373463754756,4.288382634594408e-117,116.36770647129124
GABPA,-0.027798533276030345,1.0030888288052763e-14,13.998660606210112
GATA1,-0.011065252448916528,0.001657012951765081,2.780674096977089
GATA2,0.03191983732398251,1.4726741456389067e-19,18.831893337615124
GATA3,-0.01629697920092336,3.5897002281040763e-06,5.444941817359302
GFI1B,-0.012134566381962454,0.0006885768497253325,3.162047582568829
GMEB1,0.15394358994914611,0.0,300.0
GTF3A,-0.09442803868428033,9.942074584466414e-159,158.00252298315027
HES1,-0.010079769728495612,0.008528213519313488,2.0691419348303097
HMGA1,0.15586791525514432,0.0,300.0
HNF1B,0.04057444786092708,4.9175027004542336e-24,23.308255392915072
HOXA10,-0.03802687384334798,6.46713571760044e-27,26.189288024968068
HOXA9,0.0004311385492656637,0.9191713697910262,0.036603511447073564
HOXB2,-0.043990539807954886,6.792615999972707e-36,35.167962936242
HOXC5,0.0019042655564057225,0.6369630642409367,0.19588575049263074
HOXC9,-0.03396940669403495,4.639357722976334e-16,15.333542139418075
IKZF1,-0.02963489284360234,3.7788411745388245e-17,16.422641361184578
IKZF2,0.006240791777878055,0.13616538135552203,0.8659332932845611
IRF1,-0.16301244746030127,0.0,300.0
IRF3,-0.08809232905530556,1.872401389290278e-138,137.72760104530528
IRF5,-0.06012707689052483,1.6058547783145509e-65,64.7942937316777
IRF7,-0.04732632028059932,2.834549288462347e-41,40.54751598689276
IRF8,-0.03902850282592749,1.3176757563922374e-28,27.880191444471777
JUN,-0.08358710246927047,7.780834244527586e-125,124.10897383638161
JUND,-0.19804558283914941,0.0,300.0
KLF12,-0.05656496831966089,3.372068437218667e-58,57.472103619810994
KLF13,-0.07979583871965072,5.7318628433129575e-114,113.24170421030279
KLF2,-0.04061953413936606,7.438895674364558e-31,30.128491531944327
KLF4,-0.02648083843033863,8.564423114723103e-13,12.067301885066266
KLF6,-0.14786052396666005,0.0,300.0
LEF1,-0.06928961219400688,2.277775578325996e-86,85.64248906774417
LHX1,-0.01617998208460634,8.464150329983724e-05,4.072416631827957
MAFB,-0.07519059598000091,2.1492848470769635e-101,100.66770602317035
MAFF,-0.004084155073243099,0.2701608576770371,0.568377573620005
MAFG,-0.03173130201679603,1.9663528711954187e-19,18.70633854333936
MAFK,-0.017414822462619082,7.643861841732945e-06,5.116687171161145
MBD2,0.02952390248971957,4.667338390359039e-17,16.33093071084871
MBNL2,-0.07151128833656145,6.941207608423227e-92,91.15856496584915
MITF,-0.002285498205293524,0.5158183929647713,0.28750317592299873
MSC,0.02936692662755322,4.506009539629922e-13,12.346207893170499
MXD4,-0.07866009042257,1.3334084172109582e-87,86.87503680769498
MYC,0.11632431604304115,6.655797268583146e-240,239.17679991485383
NCOA1,-0.0017453719783630832,0.6788860719585375,0.16820310122927648
NFATC2,-0.00119912774884623,0.7335263588422164,0.13458427542118678
NFE2,0.006324253035587532,0.11215388661267627,0.9501856716557688
NFE2L3,0.0029722760377683317,0.4499246996980999,0.3468601645402713
NFIA,-0.08987922635439996,9.649469453212728e-105,104.01549656436359
NFKB1,-0.0632114958075165,3.7815347679178916e-69,68.4223319022901
NFKB2,-0.04871307690040402,1.2651415352032211e-43,42.89786088593534
NFYB,0.16593389590144192,0.0,300.0
NFYC,0.11542148148931888,3.1926822310353123e-236,235.4958443048165
NHLH1,-0.027470317973200865,2.570113963753652e-11,10.59004761879633
NR2C2,-0.0161490983762049,4.398728218326995e-06,5.35667287069584
NR3C1,-0.06487873635836211,5.4843584985278266e-76,75.26087416423196
ONECUT2,0.0028521048365343746,0.4841158137557078,0.3150507307970958
OTX2,-0.017504566574443853,3.881761687855716e-06,5.4109711306751604
PATZ1,-0.043251507702391605,5.981178367306198e-32,31.223213246111253
PAX2,0.0025890378824805463,0.5420328151530467,0.26597442008802485
PBX1,0.009365575683469315,0.023175452569233857,1.6349717762168272
POU2F1,0.02205192151082615,6.783429137585386e-08,7.168550707453629
POU2F2,-0.1136072769299453,6.412753373641563e-229,228.19295546217634
POU6F1,-0.014001917637820563,0.0011324975953379815,2.945962711463081
PPARG,0.030756864110313545,1.959303800284755e-16,15.707898219156952
PURA,-0.06457034201861482,2.7733576577248557e-75,74.55699411932942
RARA,-0.02941976906715818,1.092875763723433e-16,15.961429205109779
REL,-0.11582192056213651,7.774200707901116e-238,237.10934425130333
RELB,-0.0658534995067819,3.181376661553425e-78,77.49738490921703
RFX5,0.062125542982600666,7.940544715127313e-70,69.10014970429083
RORC,-0.033293153080455246,3.6195123223536293e-17,16.441349940510577
RXRA,-0.001037047009820662,0.7961193582604262,0.09902181574490297
SETDB1,-0.048038537927120255,6.419122989752244e-42,41.19252430319732
SMAD3,-0.09310898381457376,1.91835936151558e-154,153.71707003423296
SOX4,-0.11236620587465818,2.3873916347235883e-163,162.622076332209
SP3,-0.04713997747039862,5.762022722100044e-41,40.239425033444846
SP4,-0.02713425670408887,1.2072578336569969e-14,13.918199967867588
SPI1,-0.04059145975155803,8.164095164783904e-31,30.088091941572376
SPIB,-0.08076667515898307,8.393342255236909e-96,95.07606506730389
SREBF1,-0.0014210912151460717,0.6861896959377469,0.16355580774731351
SREBF2,-0.0396133619685149,1.988020459849002e-29,28.70157915034424
STAT1,-0.11709830903719506,4.4645869430442363e-243,242.35021871519754
STAT5A,-0.020647576351564025,3.043270480210823e-07,6.516659446641932
TAL1,-0.008076595946808223,0.05311620859742005,1.2747729322090124
TBX21,0.04556806321878149,9.785016871430152e-37,36.00943842119017
TCF3,-0.024512066585768356,3.5556614936068434e-11,10.44907959147469
TCF4,0.029033998323110148,2.0053524390892894e-16,15.697809289427537
TCF7L1,-0.03806902445590121,2.924903199669241e-20,19.53388850241775
TCF7L2,-0.0029893050054858494,0.47922831518823217,0.31945752958638196
TEAD3,0.010275717978238787,0.015490604874001529,1.8099316236667304
TEAD4,0.03382244018212442,1.0318840133614955e-20,19.986369115875444
TFAP4,0.042302518590541224,7.3274063623689e-32,31.13504972274505
