TF,SHAP_diff
ATF1,-0.00022383839716167564
ATF2,3.665460686376681e-05
ATF3,2.081380000078758e-05
ATF5,-2.1835699968736663e-05
BACH2,0.000477888044381277
BATF,0.0004529918832313186
BCL11A,1.2495114320963162e-05
BHLHE41,8.026033651418585e-06
CEBPA,-9.929369724139052e-05
CEBPB,-3.658040294816101e-05
CEBPD,-9.750893221807574e-05
CEBPG,-7.41784348766541e-05
CREB3,0.00014056795204787562
CREB3L2,-9.397331571070294e-06
CREB3L3,0.0021162432062418936
CREBZF,-0.00043183079960407833
DBP,-5.454826422875116e-05
E2F1,-0.00010387092946819728
E2F2,-4.597069226217449e-05
E2F4,-0.00014173388300067362
E2F6,0.00010548088723111906
E2F7,2.11960357790867e-05
E2F8,-0.00018862637669772798
EGR1,-0.0002933717007832878
ELF1,-0.00041008040102716965
ELF3,-0.00011697251881998832
ELF4,7.972796778071543e-05
ELK1,-8.867916551257132e-05
ELK3,0.0003872615897109245
ELK4,4.1893648992254794e-05
EOMES,4.6506695567624594e-05
ESRRA,3.827420431393876e-05
ETS1,0.0003272014357050281
ETS2,-0.00013008854665942575
ETV2,-0.00015414301644119628
ETV3,0.00014201261266159296
ETV4,-1.544671903184688e-05
ETV5,-5.200392862121222e-05
ETV6,-0.00015267650130530396
ETV7,-0.00020666851163668166
FLI1,0.00016925246781904836
FOS,-0.009233440216096667
FOSB,0.011325101763644829
FOSL2,0.00018133491104918684
FOXM1,-0.0032332036762438127
FOXP3,0.0007659075801481888
GABPA,0.00011836504884202561
GATA1,-0.00014679926538824613
GATA2,0.00023796650989474857
GATA3,4.362418234451157e-05
GFI1B,0.00015958147194521113
GMEB1,-0.00025925511552917304
GTF3A,0.0035054487408197202
HES1,0.0002392644353997437
HMGA1,0.0026156280338449547
HNF1B,0.00035929516078398664
HOXA10,3.665169230661032e-05
HOXA9,5.7851806797988436e-05
HOXB2,-0.00025173516227031925
HOXC5,-1.0728263557622917e-05
HOXC9,4.533105217880547e-05
IKZF1,-7.483954257885201e-05
IKZF2,1.689296973500247e-05
IRF1,-0.00044771246685032084
IRF3,-9.173616193409899e-05
IRF5,0.00033266141658546463
IRF7,9.054026099742587e-05
IRF8,-6.116113761735411e-05
JUN,-0.010011230941255785
JUND,0.015955852890723623
KLF12,1.634399303840154e-05
KLF13,0.0001827149228099245
KLF2,0.002272012801686855
KLF4,0.00011345948108429846
KLF6,0.00860762941922732
LEF1,-0.0005928022413457899
LHX1,-1.2468970207208082e-06
MAFB,-0.00012685437494103558
MAFF,-9.508930256875223e-06
MAFG,-7.841080720594724e-05
MAFK,-1.6924550401257438e-05
MBD2,-5.856773003104283e-05
MBNL2,-2.464807280430988e-05
MITF,3.792812248696191e-05
MSC,-0.0004710035171439606
MXD4,0.01628157138737528
MYC,0.0007729300021622991
NCOA1,0.0003253632047491774
NFATC2,-0.0012194804945126812
NFE2,-1.3821617425714006e-05
NFE2L3,0.00022753709709608975
NFIA,0.00020155360745685176
NFKB1,-0.0002834193915342511
NFKB2,0.00022546342390527283
NFYB,-0.0006815580983860369
NFYC,-0.00023676405546929318
NHLH1,6.98738016270555e-05
NR2C2,-7.016104031910604e-07
NR3C1,0.00010044813743843235
ONECUT2,0.0002893248484112754
OTX2,4.204894729863846e-05
PATZ1,0.0002206236820943649
PAX2,-2.9466930976797744e-05
PBX1,-1.570781489061639e-05
POU2F1,0.00011439802087383772
POU2F2,0.0002821131964926832
POU6F1,3.0213229356323745e-05
PPARG,-0.0001843800066186376
PURA,0.00014509256439885186
RARA,4.692788052598655e-06
REL,-0.00032539126861194526
RELB,-0.0002977243746591381
RFX5,1.6181882445522402e-05
RORC,0.00017111519857778204
RXRA,-6.561641154809194e-06
SETDB1,0.00010125898522844597
SMAD3,7.609065854472706e-05
SOX4,0.0001159484220171418
SP3,5.970751465752633e-05
SP4,-0.0002507011526777495
SPI1,-2.5158954638379745e-05
SPIB,0.00013272129802636474
SREBF1,-6.630193000284764e-05
SREBF2,-0.00013586248998329091
STAT1,9.876881863739538e-05
STAT5A,-0.005421181856159427
TAL1,4.2984583177686975e-05
TBX21,-0.0011708546257518182
TCF3,6.896528042222479e-05
TCF4,-9.051219882987913e-06
TCF7L1,0.00011456902933493356
TCF7L2,0.00021560619512175358
TEAD3,-4.49753782361502e-05
TEAD4,0.0003076508757396149
TFAP4,-0.00023679509184340548
TFDP1,-0.00026498132411352445
THAP11,1.6249205387933116e-07
TLX2,0.0004189829311558355
TP53,-0.00015458741679044903
TP73,-4.822512270185019e-05
VEZF1,-0.0001678654322114117
XBP1,1.9248366130125437e-05
YBX1,-0.0021607669760490434
YY2,-1.3355293973584113e-05
ZBTB17,0.00024567602388484144
ZBTB20,-0.00013477770038585997
ZBTB25,-2.2579265363204103e-05
ZNF225,-0.00023886805504972993
ZNF35,2.355032757583197e-05
ZNF354B,3.265666724992223e-05
ZNF354C,5.7651713862323814e-06
ZNF367,-4.2838597237019875e-05
ZNF407,-0.0004871424955941255
ZNF580,2.6054644711643526e-05
