TF,mean_abs_SHAP
FOSB,0.03221504788606515
HMGA1,0.02512810022633457
JUND,0.024944403610372173
FOXM1,0.022383784643501485
JUN,0.021433403452163893
KLF2,0.020433235518952195
FOS,0.01695769211888535
GTF3A,0.015586305055634334
CREB3L3,0.013392760193293685
STAT5A,0.010022910012670723
KLF6,0.0076122201546808925
MXD4,0.006727504560396283
TBX21,0.006343614182078172
YBX1,0.0056349980942306385
NFATC2,0.0030556019629571674
BATF,0.0029847613161346678
NFKB1,0.002452305411779414
TFAP4,0.0017185849319861898
ATF5,0.0016519528765330973
NFE2L3,0.0014906625420083852
PPARG,0.0014873685362479588
CREBZF,0.0013228964111200517
HNF1B,0.0012997766494313738
EOMES,0.0012406428360777816
MYC,0.0011226687308070222
MSC,0.0011188619292109398
FOSL2,0.000968406520624824
LEF1,0.0009109868734098368
TLX2,0.000909386717952051
NFYB,0.0008910196199852551
SPI1,0.0008650571340889038
XBP1,0.0008178179462755178
CREB3,0.0008152814939467047
ETS1,0.0007922988370938759
HOXA10,0.0007496691305723099
IKZF1,0.0007359916239838231
E2F2,0.0007354805422498045
POU2F2,0.0007286431471272646
RORC,0.0007074022859521944
FOXP3,0.0007038581755481895
PATZ1,0.0006947362311486852
GMEB1,0.0006920126665209283
GABPA,0.00067753770690622
POU2F1,0.0006747759080859626
SREBF1,0.0006392118833792749
CEBPG,0.0006390584714747195
PURA,0.0006264140592302947
MAFG,0.0006185839583821894
KLF4,0.0006183477015145265
TCF3,0.0006029591591299332
RARA,0.0005959201586292944
OTX2,0.0005952564333631104
TEAD4,0.000590585295354491
ZNF407,0.0005783308315013537
ELK4,0.0005577407981306156
LHX1,0.0005506233327494603
HOXA9,0.0005493015795576202
RELB,0.0005465189556784033
ONECUT2,0.0005380925234032511
ZNF367,0.0005360937330816448
ZNF580,0.0005236069162161916
E2F8,0.0005146499931835896
NFYC,0.0005067521205557043
IRF1,0.0005030729209459184
ETV5,0.0004945873034121348
ZBTB17,0.0004940446449369769
IRF3,0.0004935901419742529
ELK1,0.0004753965180178479
ATF1,0.0004674443954343918
ZNF225,0.00046513103200024385
VEZF1,0.0004630402785029704
ELF1,0.00046236184751970584
TFDP1,0.0004620357459871734
NCOA1,0.0004577582622267095
IRF8,0.00044916985773197705
NFE2,0.00044540629554704715
E2F4,0.0004411916405852855
ELK3,0.0004406331168274746
MITF,0.00043200209581255924
FLI1,0.0004309217810557131
IRF5,0.0004273282266092813
HOXC9,0.00042668136818391276
PAX2,0.000419609296873467
STAT1,0.0004171714064001649
THAP11,0.00041670133710304823
HES1,0.00039308571208818057
PBX1,0.00039221150084057876
KLF13,0.0003899116777491985
ATF3,0.0003844181832823984
SPIB,0.0003830353033539511
TP53,0.0003815409697482573
ETV7,0.0003757716622635439
HOXC5,0.0003676532178640992
NR3C1,0.00036567987225832784
ZBTB20,0.00036264254729046733
MAFB,0.00035914694555174505
ATF2,0.0003555208546152906
MBD2,0.0003522323730851447
TCF4,0.00035049209128898683
REL,0.00035029922713424353
ETV4,0.00033997945536026557
MBNL2,0.00033933178663117264
SETDB1,0.0003370516958294027
SREBF2,0.00032974868365094617
SP4,0.0003271134385974701
E2F1,0.0003226248815812483
HOXB2,0.0003156584290839984
GFI1B,0.00031285836208869096
BACH2,0.00030761430236575564
IKZF2,0.00030655348001434413
ESRRA,0.00029671124972520803
GATA2,0.0002964253237428617
IRF7,0.00029636047271564995
RXRA,0.0002954001803131264
E2F7,0.00029143459737320226
TEAD3,0.0002904409295894048
EGR1,0.00028948074757167763
GATA3,0.0002785264195644689
NR2C2,0.00027829696132949526
CEBPA,0.0002754278558186462
ZNF354B,0.0002751195649281463
NFKB2,0.0002736017911756202
CREB3L2,0.0002727018020738959
SMAD3,0.0002705010685846063
TP73,0.0002674161202674099
ETS2,0.0002643710976859183
MAFK,0.00026348253169388114
TCF7L1,0.00024903641191617414
RFX5,0.00024669953887464913
ELF3,0.00024648300212828765
ELF4,0.00024564078467948386
TCF7L2,0.00024487473748392816
CEBPD,0.00024375591186888006
NFIA,0.00024369797680336166
MAFF,0.00023711330619204172
SOX4,0.00023526282652475494
NHLH1,0.0002341839555688562
TAL1,0.00022959972605023435
DBP,0.00022254817590310449
GATA1,0.00021959060239417762
ZNF35,0.00021635794594560933
YY2,0.00020493203057040939
CEBPB,0.00020414712949998304
ETV6,0.00020364271483412817
E2F6,0.00020215755005135967
ETV3,0.00019736172586738964
BHLHE41,0.00019645592532679482
KLF12,0.0001913442960336606
SP3,0.00018828447810638078
ZNF354C,0.00018586337008938617
BCL11A,0.00018181817914489975
ETV2,0.0001758879046140585
ZBTB25,0.0001680403338172216
POU6F1,2.6708730423942144e-05
