TF,SHAP_diff
ATF1,-0.00023776877784002716
ATF2,2.4942306368478617e-05
ATF3,-0.0001738006608730827
ATF5,0.00011736291523950431
BACH2,-6.745836899641303e-05
BATF,0.0002301525246026215
BCL11A,3.7962626906936996e-06
BHLHE41,-2.5021601660488336e-06
CEBPA,0.0002997187731593325
CEBPB,5.5069585779010324e-05
CEBPD,0.00024490703709480405
CEBPG,-0.00014960041233948382
CREB3,8.113942207074818e-05
CREB3L2,0.00010715302513206466
CREB3L3,-0.00369853520459569
CREBZF,-0.00017542123534827072
DBP,-0.00010221626495684332
E2F1,-7.74731598789436e-06
E2F2,-0.00041843602897274874
E2F4,-0.0003100962677721154
E2F6,0.00011381216249971559
E2F7,-0.00044769592411260536
E2F8,-0.000277955309912131
EGR1,-7.823836309307005e-05
ELF1,0.00017807361478639882
ELF3,0.00020711492927620947
ELF4,0.00025522257724203254
ELK1,-0.0002017042388668656
ELK3,-0.0009864998133984678
ELK4,0.000987130898228944
EOMES,-0.0016274498746926427
ESRRA,1.614091326961199e-06
ETS1,-0.0020306966640966737
ETS2,-2.837210386847666e-05
ETV2,-2.305693381263048e-05
ETV3,-0.00021815190938300827
ETV4,0.00010980929316222065
ETV5,8.905607482606412e-05
ETV6,-0.0001521283648287085
ETV7,-0.000419988497892336
FLI1,0.0002280483192163051
FOS,-0.003330880675342947
FOSB,0.0015151592553571637
FOSL2,-0.0005978427617820603
FOXM1,-0.011938082096359291
FOXP3,-0.0017546894959255166
GABPA,-0.00031692112203636735
GATA1,3.534361564347345e-05
GATA2,6.020175459452077e-05
GATA3,0.00011703730040455817
GFI1B,-4.9495765423772446e-05
GMEB1,-0.00045898696086404804
GTF3A,0.015120860334443896
HES1,-0.00028418684077536564
HMGA1,0.004640451785612491
HNF1B,0.001567364807419344
HOXA10,2.934327366197849e-05
HOXA9,0.0005989713872178494
HOXB2,-6.709565431762003e-05
HOXC5,3.0343272639489802e-05
HOXC9,9.59817409652322e-05
IKZF1,0.00044730787568771915
IKZF2,-2.5573279269990523e-05
IRF1,-3.202488173332552e-05
IRF3,-0.0004204662222813302
IRF5,0.0001797009467636928
IRF7,-1.4226049451639571e-05
IRF8,-3.42217198102642e-07
JUN,-0.0031942758622450435
JUND,-0.016778140145730615
KLF12,0.0001254036923962643
KLF13,-0.0010910264155379028
KLF2,0.009656372575722908
KLF4,-8.205369534356586e-05
KLF6,-0.000467421970849691
LEF1,0.0007826161511135371
LHX1,-0.0003127335275367978
MAFB,-0.00021890369002698081
MAFF,-5.06262731947756e-05
MAFG,0.0010848702661916529
MAFK,3.787626771946205e-05
MBD2,-3.526161536101143e-05
MBNL2,-0.0006879051016070825
MITF,0.00018994258766899465
MSC,0.001116242716771832
MXD4,-0.007009936366767814
MYC,0.0017639935522009414
NCOA1,0.00019898005233028867
NFATC2,0.0028329708365430577
NFE2,-1.59150107831615e-05
NFE2L3,0.00047136458799186456
NFIA,4.814171832511947e-05
NFKB1,0.0038020950763401435
NFKB2,0.0003385944155161298
NFYB,-0.0019345479097270784
NFYC,-0.0010682002239622763
NHLH1,-0.0002502693281162451
NR2C2,0.00036825086616987604
NR3C1,-0.000265603810238944
ONECUT2,-6.0948197411886954e-05
OTX2,1.197602191755203e-05
PATZ1,-0.00012571114932311044
PAX2,-0.00015288039028665124
PBX1,-0.00014971813362606179
POU2F1,0.00027558684114081084
POU2F2,0.00028907949544152
POU6F1,1.1620716179043249e-05
PPARG,4.616912879355255e-05
PURA,0.0014676374411028844
RARA,8.721697466700887e-06
REL,1.4591585816351647e-05
RELB,-0.0003387611921119002
RFX5,-2.4227666558382637e-05
RORC,3.984253193095801e-05
RXRA,1.2862066248099061e-05
SETDB1,0.00028048975161790233
SMAD3,-0.00037060753974348115
SOX4,-0.00011250488810917166
SP3,4.577755528261603e-05
SP4,0.00013632982731975201
SPI1,-2.7063285764248502e-05
SPIB,4.4657174824431844e-05
SREBF1,0.00011389198240012945
SREBF2,0.0003932122443785994
STAT1,-0.0009304923799717103
STAT5A,0.003226922189285991
TAL1,-0.0003378673726943181
TBX21,-0.0009139364781160194
TCF3,2.497579753986077e-05
TCF4,-7.974657005588019e-05
TCF7L1,7.20608390067867e-05
TCF7L2,3.675294192995283e-06
TEAD3,5.081675780554831e-05
TEAD4,-9.364648710119333e-05
TFAP4,-0.0005446898548027231
TFDP1,-0.0005210998344686946
THAP11,-0.0006556074977707894
TLX2,-0.0009022622052329331
TP53,-0.00038190656941250136
TP73,9.203856060127486e-05
VEZF1,-2.5534341982522514e-05
XBP1,-0.00037046254931270416
YBX1,-0.012903113651939697
YY2,-7.688673999122611e-06
ZBTB17,-0.00034583809367651685
ZBTB20,-1.3163734590947246e-05
ZBTB25,7.554401042622752e-05
ZNF225,-8.133257981063748e-05
ZNF35,2.323352131789503e-05
ZNF354B,0.00011487827033743295
ZNF354C,1.1550000328011457e-05
ZNF367,0.00019347882246457292
ZNF407,0.0005765584143153862
ZNF580,-0.0005855602381315604
