TF,mean_abs_SHAP
JUND,0.05039433845719772
FOSB,0.031663093206784225
GTF3A,0.016947176266461715
JUN,0.01537788486775509
HMGA1,0.014030116763740856
FOXM1,0.011115030751223994
FOS,0.010265190607138097
KLF2,0.009706883945730195
TBX21,0.0076713364941229725
CREB3L3,0.007505454230498591
KLF6,0.007169645366900549
MXD4,0.006864485318336439
YBX1,0.004953953675279036
STAT5A,0.004781212527221622
NFKB1,0.0026864161618063444
NFATC2,0.002064677005643695
BATF,0.0018122863857114946
HNF1B,0.0015531518051793442
EOMES,0.0013700038857283859
ETS1,0.0010914311394120734
TFAP4,0.0010445882352298908
MSC,0.0010087355411657682
PPARG,0.0009919727263712772
MYC,0.0009254342129870359
NFYB,0.0008900613685152986
RORC,0.0008583942728192009
CREBZF,0.0007947205618285653
NFE2L3,0.0007946789738070453
ELK4,0.0007684540448025998
FOXP3,0.0007221090007987289
PURA,0.0007145236253155405
CREB3,0.0006785376601416392
KLF13,0.0006671118049103873
XBP1,0.0006542697920786575
ZNF407,0.0006461609718157644
LEF1,0.000627276840312464
FOSL2,0.0006233085561032551
CEBPG,0.0006198346023468809
ATF5,0.0006075319711872508
TLX2,0.0005971954748756741
GABPA,0.000590223624677603
SPI1,0.0005866408377912546
IKZF1,0.0005767942652262521
MAFG,0.0005591521476195236
THAP11,0.0005547560892368339
E2F8,0.000535131076409535
STAT1,0.000520363759915942
SREBF1,0.0005169069814724148
SREBF2,0.0005157032447178444
TFDP1,0.0005143358462802937
OTX2,0.0005070130607706855
POU2F2,0.0005065961651535451
FLI1,0.0004980815640733604
ELF1,0.0004627464667904387
NR2C2,0.00045791599470909177
NFYC,0.00045548432703753554
HOXA10,0.0004524612281849253
IRF1,0.00045087277646643813
HOXA9,0.00044570236308047906
E2F1,0.0004453366727195663
GMEB1,0.0004224511257567971
ESRRA,0.00041995433439919274
TEAD4,0.00041571603875305665
SMAD3,0.0004150845560193291
MBNL2,0.0004087103056173018
ELK3,0.0004081548363379888
E2F2,0.000406434833530104
ELF3,0.0004061404093052969
POU2F1,0.00039936715981642184
IRF5,0.0003993329159871281
E2F7,0.00039326981970807975
SP4,0.00038945947231989087
NCOA1,0.0003878445363691897
NR3C1,0.0003866668913186267
PBX1,0.00038640267980833673
ATF2,0.00038251133924070436
IRF3,0.0003807334810821158
KLF4,0.0003729497116560033
ZNF367,0.00036871685163943405
E2F4,0.00036845828862111665
PAX2,0.0003622179631429667
TP53,0.00035376268771881514
TCF3,0.00035374860611976714
RARA,0.00035329957525608615
ATF1,0.00035236328531722754
LHX1,0.0003515799021757138
ELK1,0.0003507270333639415
ONECUT2,0.0003489210862078711
NFE2,0.0003470619300527391
ETV5,0.0003400153094938172
MBD2,0.00033659868870679517
ZNF225,0.00033504257749416536
PATZ1,0.0003345072890825322
HOXC9,0.0003312169011603524
ETV4,0.00031843624526057423
BACH2,0.0003168821274025829
ETV7,0.0003162902663723406
REL,0.00030635121397946247
ZBTB20,0.0003052187407235607
RELB,0.0003037584092835214
ETV3,0.00029745533908347404
ATF3,0.00029575827046010296
SP3,0.00029560024136883337
IRF8,0.000295428266940931
HES1,0.0002951230091538578
SPIB,0.00029302496276744424
GATA2,0.0002921764848325157
VEZF1,0.00028922268023055055
ZNF580,0.00028474942947503046
MAFK,0.0002841498256588476
ZNF354B,0.00028389183542199545
GFI1B,0.0002781600055861454
IRF7,0.0002763615416960208
MITF,0.00027278815530370495
HOXC5,0.00027036169800440725
HOXB2,0.0002695388365095652
ETS2,0.0002689668362290325
TP73,0.00026198555461860067
TCF4,0.00025690558245813785
MAFB,0.00025670440622955294
EGR1,0.0002553692965275154
RXRA,0.00025386399445811417
ETV6,0.00025348604110663104
GATA1,0.00025031089001056374
ZBTB17,0.0002500270546300316
CREB3L2,0.0002472056241592885
E2F6,0.00024364956723596802
SETDB1,0.0002434248097009784
NFKB2,0.000242503911040965
IKZF2,0.00023942850065969483
ELF4,0.0002346631398632363
NHLH1,0.00023124039396597276
TCF7L2,0.00022927165476436257
TAL1,0.00022462534702451223
TEAD3,0.00022369832776093524
CEBPD,0.00021252489911636015
ETV2,0.00020484314028992807
GATA3,0.00020085707399435988
NFIA,0.00019755018438766204
RFX5,0.00019192054567740871
ZNF35,0.0001908397751687958
DBP,0.00018093321859799104
KLF12,0.00017644104580467567
CEBPB,0.00016142522791176423
TCF7L1,0.00015528631592300055
ZNF354C,0.00015353212421277196
CEBPA,0.00015335688699515284
BHLHE41,0.00015293079483603622
ZBTB25,0.00013283115680145163
YY2,0.0001291189927592019
BCL11A,0.00011694433356125195
MAFF,0.00011293938303210328
SOX4,0.00010166195525985406
POU6F1,6.39961003759776e-05
