TF,mean_abs_SHAP
JUND,0.03350461873740345
KLF2,0.021974042674565278
FOSB,0.01783418824754817
GTF3A,0.015068428517808074
HMGA1,0.014807749560231542
JUN,0.012751477582831723
CREB3L3,0.012439150811477754
FOS,0.011223048963548025
MXD4,0.010263813240318357
FOXM1,0.010047132455397532
STAT5A,0.008123939562637014
YBX1,0.008016978505071309
KLF6,0.006781256353298469
NFKB1,0.006073730609811659
TBX21,0.004933704842824113
NFATC2,0.0028843594837263163
BATF,0.0018646865812238316
ETS1,0.00171087650354644
EOMES,0.0015351401985290358
NFE2L3,0.0013776377536449662
PPARG,0.0012911593117026486
TFAP4,0.0012773930600033375
MAFG,0.0012143881435504138
MSC,0.0012048166661382995
MYC,0.0011873683417350086
KLF13,0.0011387461259108876
CREBZF,0.0010316026010641804
NFYB,0.0009791789310470158
FOXP3,0.0009706563867470972
TLX2,0.0009225851836206327
ZNF407,0.0009170936078675122
CREB3,0.0009058797407920177
PURA,0.0008932392056736964
ATF5,0.0008853862384472318
FOSL2,0.0008689475104384725
HNF1B,0.0008212762777640727
ELK3,0.0007768000778229274
LEF1,0.000756436362379383
THAP11,0.0006967280080574809
HOXA10,0.0006745606210923592
EGR1,0.000665659459582557
STAT1,0.0006322267363745869
RELB,0.0006316387062087445
ELK4,0.0006227725200893034
ELF1,0.0006144095770008527
SREBF1,0.0006122770132117241
KLF4,0.0006083937500355138
XBP1,0.0006062651961002787
SREBF2,0.0005969913769539479
IKZF1,0.0005829785253891432
SPI1,0.0005781875568590746
ETV7,0.0005520316829859409
ZBTB17,0.0005497494136612697
GABPA,0.0005392106642286992
IRF1,0.0005331926187344588
NFYC,0.0005184937409120355
CEBPG,0.0005139780695572625
IRF3,0.0004892215102373253
ATF1,0.00048635796870513654
RORC,0.0004700581718086703
E2F2,0.00046767510716018174
OTX2,0.0004670219833278666
MBD2,0.00046646707608665925
LHX1,0.00046566753459716256
MITF,0.0004629414044033465
POU2F2,0.0004453253998460007
ZNF580,0.00044043344096701003
PATZ1,0.00043182299306560994
POU2F1,0.0004156656854266999
PBX1,0.0004124092720320239
ZNF225,0.00041198121029237153
HOXC5,0.0004068122433044301
SP3,0.0004067472755098765
TP53,0.00040511472765907984
E2F8,0.00038403407622414224
ETV5,0.00038069144943341085
TEAD4,0.00037723503107198837
SP4,0.0003750630445859498
FLI1,0.0003719951098986957
ATF2,0.0003709305390213491
TCF4,0.00036315580883875616
SMAD3,0.00035654130809325104
PAX2,0.00035412289330125893
ONECUT2,0.00035344515793063713
NR3C1,0.0003533297845384616
REL,0.00035119212636959785
ETV4,0.0003498706510608887
GFI1B,0.00034962373537143933
E2F1,0.0003487768696208465
IRF5,0.0003464882102956758
VEZF1,0.0003406498289424079
TFDP1,0.0003384983485396804
ATF3,0.00033798469682821535
ELK1,0.00033632062163607766
NCOA1,0.00033099679120971923
NHLH1,0.00032766831469540546
E2F7,0.00032198247406226585
NR2C2,0.00031977477442363816
HOXB2,0.00031826477304811805
RXRA,0.00031712270562677053
NFE2,0.0003122078687704341
GMEB1,0.00030873570504035144
SETDB1,0.0003036670824929907
HES1,0.0003025426028346073
TCF3,0.0003017867504043078
ZNF367,0.0002960841616755425
IRF8,0.00029221634022618504
CEBPD,0.00028910301655859697
RARA,0.00028581040800701836
SPIB,0.0002824397133853764
ESRRA,0.00028211196660514384
E2F4,0.0002781208587474147
BACH2,0.00027580067365427845
ZNF354B,0.0002719269458889456
HOXA9,0.0002689054183011918
IRF7,0.00026493822095121234
GATA1,0.00025712325886638503
ELF3,0.0002568224312131644
TP73,0.0002514092851275676
ZNF35,0.0002464590708766521
TAL1,0.00024579305116379554
HOXC9,0.00024256736391516686
GATA2,0.00024226786295344305
MAFF,0.0002422097107930494
MBNL2,0.0002326318037747073
NFKB2,0.00023225565834686986
ZBTB20,0.00022737245660441556
CREB3L2,0.0002216467126803517
CEBPA,0.0002171770084551806
GATA3,0.00021642481310758915
NFIA,0.0002162010731892934
ETV6,0.0002159451576610653
ETV3,0.00021574105466880757
IKZF2,0.00021461014040310308
MAFK,0.0002129236882952923
TCF7L2,0.00020874486077181469
ZBTB25,0.0002008500113338531
ETS2,0.0001952684019317033
E2F6,0.00019507773742662176
ELF4,0.00018857392830673835
CEBPB,0.0001872152593015999
ETV2,0.00017954018385538836
TEAD3,0.00016855194493044148
BHLHE41,0.00016493305963557813
KLF12,0.00016433379533458152
TCF7L1,0.0001591967712688504
MAFB,0.00015039357296055196
YY2,0.00014095465689263254
RFX5,0.0001334052911939002
BCL11A,0.0001266855994145696
DBP,0.00011771855599312498
ZNF354C,0.00011569531519993115
SOX4,0.0001107650171621493
POU6F1,3.921723748858544e-05
