TF,mean_abs_SHAP
FOSB,0.01758334304426866
HMGA1,0.0128997468584105
JUN,0.01109692911097869
FOS,0.009561235380127415
JUND,0.009559223413637023
GTF3A,0.00947084496747525
KLF2,0.009355100654072947
CREB3L3,0.009132398331799251
STAT5A,0.00839197111611811
KLF6,0.006470620779249358
FOXM1,0.0037958307426402154
TBX21,0.002844159286594772
MXD4,0.00281723361412678
YBX1,0.002658820008682049
NFATC2,0.002086742937393694
BATF,0.001980022111537875
NFKB1,0.0016761649772614468
NFE2L3,0.001341907486684639
MSC,0.001245308955528656
ATF5,0.0011108488336864957
LEF1,0.0010751301156745902
PPARG,0.0009456309945742068
EOMES,0.0008529681174572196
TLX2,0.0008030412924544408
ELF1,0.000800510463810143
TFAP4,0.0007858635915788396
CREBZF,0.0007106670173778391
POU2F2,0.0006894655504221525
FOSL2,0.0006870896716731384
HNF1B,0.0006217906469080592
SPI1,0.0005987245889656875
NFYB,0.0005908815680765973
KLF4,0.0005691612842858759
CREB3,0.0005595996576715901
MYC,0.0005520504198405081
SREBF1,0.0005104202169112333
RORC,0.0005037782181681042
XBP1,0.00047676429001779235
E2F2,0.00046653641953848304
GABPA,0.00046098626722551497
ETS1,0.00044815350433748493
MAFG,0.00042937698867792705
FOXP3,0.0004229533797273421
E2F8,0.0004056893098102846
STAT1,0.00039278506833295376
CEBPG,0.0003899825369342687
LHX1,0.00038914123365254796
SREBF2,0.0003858530806291525
TCF3,0.0003830826121937181
IRF8,0.00036710839939339303
ZBTB17,0.000364208491669176
SETDB1,0.0003612971606153444
ZNF225,0.00036034665483893774
IRF5,0.00035808106188529366
ZNF354B,0.00035782874459202365
E2F4,0.00035457676741313955
RARA,0.00035410557127509246
IRF1,0.000343116896371327
ELK4,0.00034163935518188713
IRF3,0.0003311352953719212
HOXA9,0.00031980949266450967
ZNF580,0.0003158553697097267
ATF2,0.0003119634424409258
ZNF407,0.0002967254101479816
HOXB2,0.0002966794303987863
RELB,0.0002884628688131357
PAX2,0.00028380972614969397
NFE2,0.0002834195649065112
NCOA1,0.00028259939219690204
TP53,0.0002753627475188135
TCF7L2,0.0002730144202772353
ELK3,0.00026933260002278493
GATA1,0.0002692201350306517
GMEB1,0.00025603691110127864
SPIB,0.00025403915760833265
PURA,0.000251335829283197
NFIA,0.00025019857024888867
KLF13,0.00024841395563465464
SP4,0.0002474436081882772
VEZF1,0.00024439566155280826
TEAD4,0.00023851274175274082
OTX2,0.00023728896314725994
ATF3,0.00023546502624115307
POU2F1,0.0002335353323018692
RXRA,0.00023249022410879423
IKZF1,0.0002262570135132169
HOXC9,0.00022417342653404833
E2F7,0.00022258627263548075
BACH2,0.00022141953402518075
MITF,0.00022003738449822888
ETV5,0.00021989869962658047
MAFB,0.00021799107239616372
GATA2,0.00021729955797317424
MBNL2,0.0002105614144845154
NR3C1,0.0002040693968964048
PATZ1,0.00020279780010143636
ZBTB20,0.00020210309087666248
CREB3L2,0.00020137040531416386
ATF1,0.00020085822617016264
HOXA10,0.00019527109527148429
TAL1,0.00018804524013943792
PBX1,0.00018736074779955188
ETV7,0.00018578018190762639
HES1,0.00018508981096305112
TFDP1,0.00018465020676945991
CEBPA,0.00018447633297342782
ZNF367,0.00018343277886301673
ETS2,0.00018053565637130223
ZNF354C,0.00017747354452075746
NFYC,0.00017372576720920717
TCF4,0.00017288477876687018
ETV6,0.0001695100115204861
E2F6,0.00016824309581824428
ELK1,0.0001673222784263356
HOXC5,0.0001667558846057716
IKZF2,0.00016661570043567404
MAFK,0.00016501909359499425
THAP11,0.00016276105660449616
ONECUT2,0.00016108935891189475
MAFF,0.00015843862644926928
SMAD3,0.00015761252648698526
FLI1,0.00015568182656083306
E2F1,0.00015435087522196485
ELF3,0.0001410925511733383
REL,0.00013892905318306804
GATA3,0.0001366547821659391
NR2C2,0.00013598928842776815
ELF4,0.00013216612458511967
ZBTB25,0.00012835606596229752
NHLH1,0.00012793710486174638
TEAD3,0.00012341691149449525
MBD2,0.00012318885707973364
KLF12,0.00012157420108477986
EGR1,0.00012019391526145359
ETV4,0.00011861792558836545
NFKB2,0.00011692138196203499
TCF7L1,0.00011168092376068332
IRF7,0.0001115926085849517
CEBPD,0.00011098656986107754
ZNF35,0.00011047553140587915
GFI1B,9.820533393567764e-05
ESRRA,9.573172174762119e-05
SOX4,9.564517133984084e-05
SP3,9.493874951306156e-05
ETV2,9.040411567116223e-05
ETV3,8.787394855340842e-05
TP73,8.603361449895969e-05
CEBPB,8.313461334802411e-05
BHLHE41,8.299705680532979e-05
BCL11A,7.810968621954818e-05
DBP,6.717170663952218e-05
YY2,5.812169333287671e-05
RFX5,4.842148825111276e-05
POU6F1,3.8367309374712616e-05
