TF,SHAP_diff
ATF1,2.6232145781904952e-05
ATF2,1.3867638866697511e-05
ATF3,-0.0001589701407237176
ATF5,-9.039405133660446e-05
BACH2,0.0005293161068130544
BATF,0.00036530110393255717
BCL11A,1.5160418679495291e-05
BHLHE41,0.00010435774146390638
CEBPA,0.00013799252220883935
CEBPB,0.0001224763552611305
CEBPD,-1.2757196200121647e-05
CEBPG,-8.259220642877621e-05
CREB3,2.6767947324076344e-05
CREB3L2,9.775370369193466e-05
CREB3L3,-0.0009905088177218253
CREBZF,3.3024957573541505e-05
DBP,-1.0070310111081623e-06
E2F1,0.00026919692431214633
E2F2,-0.0003631389336460848
E2F4,6.200568351407677e-05
E2F6,-3.3343388579269613e-06
E2F7,-0.00011053827352148926
E2F8,2.785713732683387e-05
EGR1,-0.0002984913522031665
ELF1,-0.00017011792188492117
ELF3,-0.00010156298315604407
ELF4,2.2568122188177912e-05
ELK1,-8.826439111106401e-05
ELK3,0.00026462686244627586
ELK4,-6.291771094088823e-05
EOMES,-0.0013584452471361278
ESRRA,7.801032103985325e-05
ETS1,0.00017998980199598538
ETS2,-0.00014070428179702873
ETV2,-8.570181330140264e-05
ETV3,-5.8830727783339064e-05
ETV4,-0.00013705344032685266
ETV5,-3.061979772661159e-05
ETV6,-0.00023087531600537645
ETV7,-0.0003450103455535277
FLI1,6.005976509616755e-05
FOS,0.0035605151243551262
FOSB,0.027492563166125236
FOSL2,-7.181324532662484e-05
FOXM1,0.005657087740495921
FOXP3,0.00023780427044687257
GABPA,-4.3959107742759596e-05
GATA1,2.817914476425711e-05
GATA2,-6.394537786163923e-05
GATA3,-3.791694492561488e-05
GFI1B,0.00015516392395927394
GMEB1,-0.0005477561848437493
GTF3A,0.019573862332721112
HES1,-0.00013852912877765832
HMGA1,0.006158311585698206
HNF1B,0.0004890207288427996
HOXA10,-3.332925591365964e-06
HOXA9,-7.272009758181863e-06
HOXB2,-3.242255888058319e-05
HOXC5,-7.435048633632363e-05
HOXC9,7.604017373050991e-05
IKZF1,-0.00017380803253740676
IKZF2,0.00012299819338326505
IRF1,-0.0001465873267578548
IRF3,-0.000212716895944113
IRF5,9.539372380015509e-05
IRF7,5.675062938793623e-05
IRF8,-2.3332837808491148e-05
JUN,0.011566118007107742
JUND,-0.015276710405298516
KLF12,1.8153004805866053e-05
KLF13,7.902288562434983e-05
KLF2,0.02968369835295332
KLF4,0.00022654052987807356
KLF6,0.0057436714471209675
LEF1,0.00043528194918906245
LHX1,-2.218825054742512e-05
MAFB,-0.0001571705562013109
MAFF,-5.3038107668747774e-05
MAFG,-0.000283334369905808
MAFK,2.28802793870924e-05
MBD2,-0.0002220006930135645
MBNL2,3.1270586184188826e-05
MITF,-0.0004947743100426774
MSC,0.00036387486093706375
MXD4,0.0003945997243124062
MYC,0.0004983452540484666
NCOA1,0.0001266242737174705
NFATC2,-0.0010925094427907977
NFE2,8.587709266236758e-05
NFE2L3,0.00012945145527062187
NFIA,-0.0001738757745456953
NFKB1,-0.0006107481505034679
NFKB2,0.0001953749693352263
NFYB,-0.000371241860052179
NFYC,-0.0002518426951552071
NHLH1,0.0001625827392062968
NR2C2,-1.3102445840219504e-05
NR3C1,-6.628812335686597e-05
ONECUT2,-0.00020277513289623537
OTX2,-9.032641825884306e-06
PATZ1,6.938451835842304e-05
PAX2,0.00018003599702348585
PBX1,1.4042387550467455e-05
POU2F1,-0.00014951044924411033
POU2F2,-5.67324047455612e-06
POU6F1,5.9419459748061976e-05
PPARG,-0.0003019095560508518
PURA,-7.760154638045738e-05
RARA,-0.0002693633870898938
REL,-9.469118906012507e-06
RELB,-0.00025603209992200367
RFX5,7.642569915475837e-05
RORC,0.00014787360985880067
RXRA,-5.141172608323594e-05
SETDB1,0.0001585395840606977
SMAD3,6.84412439446407e-05
SOX4,-0.0001238344226224954
SP3,-0.0001229404638152678
SP4,-0.0001555551199841104
SPI1,-1.916606007342735e-05
SPIB,0.0004127890611226573
SREBF1,0.00013900260090750192
SREBF2,2.247273963076019e-05
STAT1,-0.0003902603105408277
STAT5A,-0.007241040628907527
TAL1,4.5752046195472494e-05
TBX21,-0.005462999965862093
TCF3,-8.973698905048182e-05
TCF4,9.41575896411446e-06
TCF7L1,4.1726216952767614e-05
TCF7L2,0.00011067258480806092
TEAD3,-2.5005140368893516e-05
TEAD4,-3.6413882053636496e-05
TFAP4,-0.00039635867868554806
TFDP1,0.0004736077284363063
THAP11,-7.263441018064606e-05
TLX2,-0.0002637764434678531
TP53,-0.00012788931662364062
TP73,0.00011932666445772487
VEZF1,0.00019490449247578246
XBP1,0.0003000497616256083
YBX1,-0.0016400433952829092
YY2,1.8465120306206366e-05
ZBTB17,0.0002970715198351568
ZBTB20,-0.0001534813211284371
ZBTB25,-9.103005770127142e-07
ZNF225,-0.00011977774867629658
ZNF35,1.9144126072416167e-05
ZNF354B,5.500270766466042e-05
ZNF354C,4.747251520372659e-05
ZNF367,9.143758856549946e-05
ZNF407,-0.0002622743078052943
ZNF580,0.00019171020040655641
