TF,mean_abs_SHAP
JUND,1.1081751153404253
GTF3A,0.9444753431057538
FOSB,0.643017406642861
JUN,0.5136490117604545
HMGA1,0.3534550236464342
KLF2,0.3059612962623086
FOS,0.2993285678605836
YBX1,0.2077710106884956
STAT5A,0.17513775192981018
TBX21,0.16861611774903026
CREB3L3,0.16260487111608668
FOXM1,0.14780353967221807
MXD4,0.09044390651847627
NFATC2,0.05960132036209032
KLF6,0.05827944853633369
BATF,0.05110020128232657
MSC,0.040470259853547665
EOMES,0.03427222722894816
ETS1,0.032764574980706375
PPARG,0.03216281741936639
CREB3,0.029860760214985977
NFKB1,0.029075850122538268
MYC,0.026315273434796938
FOSL2,0.025743414821069007
E2F4,0.02565619672101662
ELF1,0.02533870153944489
FOXP3,0.022737912943110075
E2F1,0.021582811155780673
SPI1,0.02140569641609573
KLF13,0.020621692284169678
TP53,0.020447061171457323
FLI1,0.02010957783177076
HNF1B,0.019481034077459162
MAFG,0.018972412904579496
THAP11,0.018160771459904846
IRF3,0.017842337494305905
NR2C2,0.01673034667072566
NFYC,0.01554931344442326
SREBF2,0.015469255884168002
NFE2L3,0.014583956905632509
GATA1,0.014304222575512662
SETDB1,0.014192082950352935
MBD2,0.013990016446000982
KLF4,0.013879961813830721
GATA3,0.013663131412735913
ATF2,0.013201285089394959
HOXC5,0.01287097353415951
TLX2,0.012793656596276232
ESRRA,0.012783677166371885
ZNF407,0.012648404491136514
PURA,0.012636492622372777
SREBF1,0.012544606659806157
NFYB,0.012305165078718365
POU2F2,0.012291195398671304
OTX2,0.012283356254011833
ETV7,0.01216056799352909
RXRA,0.011940065755496183
TFAP4,0.011921488609667607
ZNF225,0.011874097361821155
HOXB2,0.011695756644105309
ATF5,0.011229711268603393
TFDP1,0.011190935778948616
HOXA9,0.011123643326522747
ELK4,0.011114438346578543
NFE2,0.010951472929157546
ELK1,0.010895155673884865
HOXA10,0.010853119616855708
ETV5,0.010613442257352123
NCOA1,0.01037799449102449
PATZ1,0.01024994083555033
NR3C1,0.010127165954740907
ETV3,0.009858490022546346
STAT1,0.009526708118044628
CREBZF,0.00898633530648873
TCF7L2,0.008907812734247079
ZNF580,0.008843803458045368
MAFK,0.008694472575138971
GFI1B,0.008436217324246457
ZNF354B,0.00828082717711435
LHX1,0.008152824477940749
ATF3,0.008046973682981913
BACH2,0.008029485365375953
ETV6,0.007939844919129769
SPIB,0.00787546583085153
E2F8,0.007868540314323299
ELF4,0.007818778020141585
RARA,0.0077813695434937775
IKZF1,0.00771127070789552
PBX1,0.00750782637974209
RORC,0.007462534771565743
GABPA,0.007388603493429806
HOXC9,0.007356966426627653
EGR1,0.007222192406991024
CEBPG,0.007010839933434211
VEZF1,0.007005450834246885
NFIA,0.0069236104373002795
BHLHE41,0.006842284765465339
ZBTB17,0.006735711304150047
E2F2,0.006711603974867769
MITF,0.006655159313455129
IRF8,0.006630420795097872
NFKB2,0.006606596545083138
CREB3L2,0.006591941744893727
ONECUT2,0.006463785776205231
PAX2,0.006394926860832279
LEF1,0.006368344450158303
NHLH1,0.006192423750908984
CEBPD,0.006152606695555665
GMEB1,0.006076458095848224
SMAD3,0.005901110728897338
TCF3,0.005761930744373134
ZNF35,0.005709940057380675
BCL11A,0.0056675267055348
SP3,0.005658638602774657
XBP1,0.005558795697164589
ETS2,0.005521423089778028
IRF5,0.005449180342649267
ZNF354C,0.005342170460398118
TP73,0.005310446092132171
ATF1,0.005168092077140356
REL,0.005107076276310896
ETV4,0.004880705822989084
IKZF2,0.004728748416841565
RELB,0.004636357359978731
ZBTB20,0.004559193768625207
TCF4,0.004526700280310493
E2F7,0.004328682737062533
GATA2,0.004176801916849714
ZNF367,0.004140889779593086
TCF7L1,0.004015308087517561
SP4,0.003908562860484489
IRF1,0.0038895743435398344
ELK3,0.003870700374897175
POU2F1,0.00383569896750985
TEAD4,0.0037934661954300147
E2F6,0.0037616168042255878
CEBPA,0.003689393634387573
HES1,0.0036597023110450226
DBP,0.0035510494159550505
IRF7,0.003537793524753282
MBNL2,0.003273363551797534
RFX5,0.0031439956579891455
CEBPB,0.0030207226571689694
MAFB,0.002521582840635764
TAL1,0.0023653321432508304
KLF12,0.0022796262543533716
ELF3,0.0020644926301091786
ETV2,0.0020053113624065237
MAFF,0.0019203030791874575
SOX4,0.0016648844358811542
YY2,0.001469874267290992
ZBTB25,0.0014108546972098587
TEAD3,0.0012834122865773906
POU6F1,0.00038991416629175353
