TF,mean_SHAP
CREB3L3,0.14973895875232238
GTF3A,0.13159651264054345
FOSB,0.1247386506300913
KLF6,0.10099908894234204
TBX21,0.07229253934943146
STAT5A,0.054917537962394285
EOMES,0.036708873500847165
FOXP3,0.03254982412388054
FOXM1,0.02855897201364059
KLF2,0.02788754634708355
MYC,0.021142300681028084
PPARG,0.01905081428972813
NFATC2,0.018277176351333566
NCOA1,0.017647712325321516
BATF,0.014907061686934522
TCF7L2,0.014322109247988131
SREBF1,0.010480080484696432
STAT1,0.01036282258684965
ZBTB17,0.009136357564704023
CREB3,0.008392591235392469
PURA,0.007715076428218921
FOSL2,0.006678142974818205
ONECUT2,0.006056019012006319
SPI1,0.00586376444133423
NR2C2,0.00570294032678403
SPIB,0.005596384493158005
PATZ1,0.005428426013341579
ELK4,0.005423222321832306
ELF4,0.004753034710308513
ZNF354B,0.0046060265866538505
ELF3,0.0044813772146400695
TFDP1,0.004302904475776067
MAFK,0.00428507618357202
TLX2,0.004117856423323237
XBP1,0.0038299203144137877
OTX2,0.003677608963763053
ATF5,0.002634983976179877
GMEB1,0.002556396811189229
SETDB1,0.002269921279128204
TAL1,0.0022283401413215375
TEAD4,0.0022261225670787694
HES1,0.0021538832337205417
ETV7,0.001998071781234592
HOXC9,0.0016775415596561984
SREBF2,0.001631054120658617
CREBZF,0.0016022795462246233
TP73,0.001562308755273556
BCL11A,0.0013906774612694162
NFYB,0.0013727727855938612
ZBTB20,0.001344104643075384
CREB3L2,0.0012467407643755352
IRF5,0.0012435915414159388
ELK3,0.001193484283434488
GFI1B,0.0011874580879986064
RELB,0.0011533620052692388
TCF7L1,0.001142447774272531
KLF4,0.0011015459362199683
BHLHE41,0.0008197986449325623
KLF12,0.0007708061658795725
GATA2,0.0007366151546502205
NFIA,0.0006588321562399351
THAP11,0.0006552728453136905
GATA1,0.0006415074988252141
ETS2,0.000631444706520465
MAFF,0.0005775716905250565
MAFB,0.0005593220776857411
ATF3,0.0004197542130983145
ZNF354C,0.0003820064227344254
TCF4,0.00030621905569541246
E2F2,0.0002696642787700668
CEBPD,0.0001673089890744127
E2F7,0.00013840474955822038
TEAD3,0.00010756672351703073
SOX4,7.848411337181164e-05
E2F8,7.3853695502469e-05
IRF3,5.4792968959713e-05
ZNF367,3.0478990091640234e-05
MBNL2,2.163412154545589e-05
IRF8,2.106821651823006e-05
RARA,-1.594052587478565e-05
E2F1,-0.0001689529891413321
ZBTB25,-0.00018276240232152535
GABPA,-0.0002113093533179745
BACH2,-0.0002342678647631757
E2F6,-0.0002549373781220491
NFKB2,-0.0002945032181015277
SP4,-0.00029647046236487323
ZNF407,-0.00035904105195560415
NFYC,-0.00039848001932627733
SP3,-0.00040490911344903436
HOXC5,-0.0004389242352349176
RFX5,-0.000492751534597382
DBP,-0.0004966569321028327
POU6F1,-0.0005067569709084996
RXRA,-0.0005367032912918775
VEZF1,-0.0005447968726821399
KLF13,-0.0006759324199352254
MITF,-0.0008049116783024107
ETV2,-0.0009576370015230537
HOXB2,-0.0009710906955973116
TCF3,-0.0009795562960568762
ZNF35,-0.0010909928161119387
YY2,-0.001112866052825386
IRF7,-0.001180112839993848
ETS1,-0.0012384274277836105
CEBPG,-0.0013562319148086492
CEBPB,-0.0013981626021522717
EGR1,-0.001482184955813122
ATF2,-0.001612730850964087
MBD2,-0.0016160034470768527
SMAD3,-0.0016489107424213015
CEBPA,-0.0018283923526347125
LHX1,-0.0018865275982176868
IKZF2,-0.0019082713591200174
PBX1,-0.002032040180882681
POU2F1,-0.0021485683475271533
NR3C1,-0.0021766560440968706
ETV4,-0.0022491982643542867
NFE2,-0.0022726475456650796
ATF1,-0.002375774916529936
REL,-0.0025413965936593695
RORC,-0.0026706616150284916
HNF1B,-0.0027437164483214505
HOXA9,-0.0031311882098691967
POU2F2,-0.003172347370445896
PAX2,-0.00341287443306847
ZNF580,-0.003698008860307776
IKZF1,-0.0038150802790239673
IRF1,-0.004118417720569912
TP53,-0.0043696971383838604
E2F4,-0.004373350140862776
ETV6,-0.004703110736741526
TFAP4,-0.004773627776337738
HOXA10,-0.004893680499408535
NFE2L3,-0.004952510830399859
ETV3,-0.005169511283463609
ESRRA,-0.00521947647733428
NFKB1,-0.005413013307675475
FLI1,-0.0056002595638380585
ETV5,-0.0056043394799734445
MAFG,-0.006186882534153425
NHLH1,-0.006289176387149518
GATA3,-0.006747535362318542
LEF1,-0.006896186421242295
ELK1,-0.007212283751675917
ELF1,-0.008946319360491551
ZNF225,-0.009210783360626924
JUN,-0.013739987907776837
MSC,-0.025347429528533146
FOS,-0.04638847131606577
YBX1,-0.05421748526721049
JUND,-0.05728306375248628
HMGA1,-0.07543702022731708
MXD4,-0.1127102620643874
