TF,mean_SHAP
FOSB,0.42272415788443385
JUN,0.414172117539784
FOS,0.27545629625052154
GTF3A,0.1791925195944649
YBX1,0.14495869380811277
KLF6,0.07300031255368977
STAT5A,0.059260345760544925
HMGA1,0.03233200361208823
IRF1,0.014892944885092008
NFATC2,0.014632996135475362
IRF3,0.01185679186758886
MAFG,0.011760836128895882
STAT1,0.010790390484585076
TFAP4,0.009477297484032367
ETV7,0.008484274535904033
TCF3,0.007981576905076289
NFE2L3,0.007543051575947278
SPI1,0.006986803685539473
CREB3,0.006653785109476426
MYC,0.005666870921375825
XBP1,0.0050598261854256235
CEBPA,0.005020816892751198
LEF1,0.004850789174160382
TP53,0.0046000655008351845
MSC,0.004184894513818639
PURA,0.003748989593635236
LHX1,0.0036023754205548714
ELK4,0.003345116705472394
ETS1,0.0031084731121643356
E2F7,0.0028955028244806243
MBD2,0.0021595641399689016
KLF12,0.0021561447877151076
ZBTB20,0.0021513734465698083
IRF5,0.002099707120286087
SMAD3,0.0020403205285956893
ESRRA,0.0019220721604434748
TCF4,0.0018630684811665734
HOXC5,0.0016767837974472019
HOXA9,0.0016082948980262967
BCL11A,0.0015727193389211483
TFDP1,0.0015177331278233089
TEAD3,0.0014344193704913292
POU2F1,0.001419200185033583
HES1,0.001333064620162354
BHLHE41,0.0013284866643652235
ETV6,0.0012818294768690958
MITF,0.0012809831842584116
OTX2,0.001199806074411434
IRF7,0.001039118491325621
ELF3,0.0008858059252204641
EGR1,0.0008561747277162758
CREBZF,0.0007697228079181157
HOXC9,0.0007667547289733907
ZNF35,0.0007363104224640612
MBNL2,0.0006868302889293579
ZBTB25,0.0005987649859426368
TEAD4,0.0005291156014334411
ETV4,0.0005073849360851368
PAX2,0.00036464462837872754
GATA2,0.0003522973106396643
MAFB,0.00029154944364795577
IRF8,0.0002793293227619613
VEZF1,0.0002648465998639651
ZNF225,0.00020702491489403858
TP73,0.0001912814292980167
ZNF354B,0.00017139858668373492
MAFF,0.00011641254914224045
ATF5,9.029736604943585e-05
MAFK,6.693978575121858e-05
ETV5,-2.5461195057498208e-05
RXRA,-8.945712730448696e-05
KLF13,-0.00010071916001978682
GMEB1,-0.0002070949420637072
NFE2,-0.00023536669691116244
HOXB2,-0.00026839460889972316
POU6F1,-0.0004014930633769157
RFX5,-0.0004417206141722248
ELF4,-0.0004968833771621205
YY2,-0.000530194714035357
ETV3,-0.0005990778274539443
DBP,-0.0007515758655243948
PATZ1,-0.0007899931256848413
PPARG,-0.0008150300152636878
ZNF367,-0.0008268847355836404
NR2C2,-0.0008313861228664678
ZNF354C,-0.0009785875184642016
ATF3,-0.0010660922367788472
ONECUT2,-0.001139337429585499
THAP11,-0.0011419771864718772
BACH2,-0.001449979719232608
E2F4,-0.0015532303561899361
SOX4,-0.0015770646768390128
SP4,-0.0016390357462299462
ETV2,-0.0016779530722304467
CEBPB,-0.001877471603737643
RARA,-0.001878294326641615
NFIA,-0.0019385528567576963
FOSL2,-0.0019580645968264435
RORC,-0.0020107796493544342
SPIB,-0.002256157227098083
SETDB1,-0.002315533673128641
NHLH1,-0.0023182295809403585
ATF2,-0.0023977347692570182
TCF7L1,-0.0024408319660624987
E2F6,-0.0026354670576958093
NCOA1,-0.00266573942602218
KLF4,-0.002684057439882852
NFYB,-0.0027107434561391484
REL,-0.003092523748434935
GABPA,-0.0031673330141501702
ETS2,-0.0031871802719660937
NR3C1,-0.0032057016517948035
BATF,-0.003219067788125495
ZNF407,-0.0033074976017079065
PBX1,-0.0033731126202806217
TCF7L2,-0.003406253291313287
IKZF2,-0.003528592674390837
POU2F2,-0.0036968964317380393
E2F1,-0.003748592622967888
CREB3L2,-0.0037521818033194256
HNF1B,-0.003954473816332804
ATF1,-0.004150042004771518
ZBTB17,-0.004330402820274914
ELK3,-0.004393429736836097
EOMES,-0.004567181819011599
CEBPG,-0.004584901531013677
SREBF1,-0.004701872390809193
GATA1,-0.004747673391778531
RELB,-0.004811698283645222
E2F8,-0.004828231569741735
TLX2,-0.005514517544398253
FOXP3,-0.0056586295860704405
ZNF580,-0.005746098000284873
E2F2,-0.0061037343634542185
SREBF2,-0.006415318953251858
GATA3,-0.006418929180298576
CEBPD,-0.0064564245413854015
SP3,-0.006607128965515269
GFI1B,-0.007263449354563932
ELK1,-0.007429639365673034
NFKB2,-0.0077737303259370425
IKZF1,-0.008378758530466369
NFYC,-0.008546746124326531
NFKB1,-0.00867557960762296
ELF1,-0.009498051306251287
TAL1,-0.010122966051102154
HOXA10,-0.013409608139965288
FLI1,-0.014436350075115734
FOXM1,-0.02010084281270711
KLF2,-0.02389916552230751
CREB3L3,-0.05591883206069549
MXD4,-0.09515848344340874
TBX21,-0.10887129701124365
JUND,-0.2284653201445291
