TF,mean_abs_SHAP
FOSB,0.7988372942641842
JUND,0.6686154735484423
HMGA1,0.48368611865819566
GTF3A,0.4099156739766508
JUN,0.3157958547929372
TBX21,0.29134344688121566
MXD4,0.22622463098000914
FOS,0.22183566313037656
CREB3L3,0.2009916916716531
YBX1,0.12955344112853512
KLF2,0.11545741412477933
KLF6,0.10827557721213252
FOXM1,0.08200224346766975
STAT5A,0.07070777118147818
NFATC2,0.044528709402114626
FOXP3,0.03872748948668595
PPARG,0.038130596714354655
BATF,0.031045635415658756
TFAP4,0.02846497207029306
RORC,0.026520252137738648
EOMES,0.023418126473938927
FOSL2,0.02115711934784113
NFE2L3,0.020316799023076135
MAFG,0.018617794590123908
IRF1,0.01784094410899689
ATF2,0.016936378229196792
TCF3,0.01634075952558645
ETS1,0.016210986415243874
IRF3,0.015325668436440242
SPI1,0.015188906680782299
NFKB1,0.015116280956724579
TLX2,0.015096515931250713
MYC,0.014897285782332475
STAT1,0.01470563907390259
ELK4,0.014178691967594468
RXRA,0.013884508434804758
SREBF1,0.013652483814387169
CREB3,0.013600572961792077
ELF1,0.01320763714782282
CREBZF,0.011888231259903053
NFE2,0.011813116262196064
MBD2,0.011733846834155272
MSC,0.011576105714244923
GABPA,0.010871935623735533
GMEB1,0.010828624498043558
TP53,0.010765251351319878
NFYB,0.01068679457337138
GATA1,0.010579413647324764
LEF1,0.010479525753679275
NCOA1,0.010248726950458207
ETV7,0.010115854520552772
E2F1,0.010102046238325056
POU2F2,0.009880342211278087
NFKB2,0.00986471274997967
TFDP1,0.009858745488467869
GATA3,0.009809505828819294
SP3,0.009576122303924725
ESRRA,0.009496515085740094
SPIB,0.009467934921912311
E2F4,0.008984941999887862
E2F2,0.008911390131441845
E2F8,0.008797975426652605
GFI1B,0.008760146280546171
IKZF2,0.008626099969213694
HNF1B,0.00861934038339628
NHLH1,0.008604415696157781
NR2C2,0.008487717642571928
PAX2,0.008483973168525331
TCF7L2,0.00836509468058214
HES1,0.008158700362659182
PURA,0.00812036953264204
MAFB,0.007986051483403154
HOXC5,0.0076928360818286365
ETV6,0.007559329209181429
ZBTB17,0.007535299726347524
ONECUT2,0.007466544571198468
MITF,0.00737949180447283
HOXA9,0.007313806532220162
KLF13,0.00720731792305622
KLF4,0.006956392809429431
BHLHE41,0.006852097737147357
ZNF225,0.0068446406946071955
THAP11,0.006772204161552554
ZNF354B,0.0066852799762573386
MAFF,0.006573213275222529
ETV5,0.006438512205495057
IRF7,0.006339565964902978
IKZF1,0.006335705843352322
ELK3,0.006326585320804542
ETV3,0.006322226945489737
SETDB1,0.006219417068390505
IRF5,0.006182050888545332
ZNF407,0.006171575839821518
ETS2,0.006076914269301031
HOXB2,0.006058450868565475
IRF8,0.006052492463027639
ZNF367,0.005778326506377508
OTX2,0.005674065456952913
NFIA,0.00556827334502317
ZNF35,0.00551526851171395
TEAD4,0.005480413689093746
NR3C1,0.005460181855085962
ELK1,0.005344526260914686
ATF1,0.005287269210114238
CEBPG,0.005223491949453354
REL,0.005072505094649682
BACH2,0.0049940601723819185
RARA,0.0048336622016891175
ETV4,0.00469941451780026
MAFK,0.004608210892832625
ATF3,0.0045586670407417006
TCF4,0.004456379126740349
YY2,0.004408381959695159
KLF12,0.004315389823033389
SP4,0.004307862658861873
XBP1,0.004210185325625001
POU2F1,0.00404942407784311
HOXC9,0.0037883278857197018
ELF4,0.0037769834327985264
LHX1,0.003773139691266459
GATA2,0.003747636250895523
EGR1,0.00372794102376709
HOXA10,0.0037186870463964423
PBX1,0.003677191804820103
FLI1,0.003601175753988781
RELB,0.0035351227095472295
MBNL2,0.0034932196897562206
PATZ1,0.0034638975908346825
CEBPA,0.0033941740258321236
DBP,0.0032612870794241494
ATF5,0.0032584699633649798
TAL1,0.0032084234649913113
SMAD3,0.003196917497159636
E2F7,0.0031561921671896193
NFYC,0.003151511882255645
RFX5,0.0030941940769325126
CEBPD,0.002991285341416408
ZNF354C,0.0027654959975255454
E2F6,0.0027549170503720437
BCL11A,0.0025424670650263997
SREBF2,0.0024990627198853625
ZBTB20,0.0023271811059407603
CEBPB,0.002267720470655222
TCF7L1,0.0022178293495936693
ELF3,0.0021313244382904907
VEZF1,0.0021283475997796782
TP73,0.0020925466277959912
SOX4,0.0017333343211917904
ZNF580,0.0016797043465493807
ZBTB25,0.0012925865000511137
ETV2,0.0012757353295222756
CREB3L2,0.0012185623531766885
TEAD3,0.0009242865675698912
POU6F1,0.00033633209018506764
