TF,mean_abs_SHAP
GTF3A,0.6048858092204844
FOSB,0.5850676179879448
JUND,0.5365594602074749
TBX21,0.32651041484998194
JUN,0.28372694233674906
FOS,0.24723723053428676
HMGA1,0.2419825517103476
STAT5A,0.22312311836169713
CREB3L3,0.20865993428230203
YBX1,0.17597719267863682
KLF2,0.1734274974453501
FOXM1,0.15164011501524938
MXD4,0.10078761626777163
KLF6,0.08500577257099233
NFATC2,0.08080705971085628
NFKB1,0.0456363649016141
BATF,0.03952470657546844
PPARG,0.03831545335726748
EOMES,0.036699803344981755
ETS1,0.03058075074734786
FOXP3,0.029119776117894
KLF13,0.026917665569005513
MYC,0.02670892353040528
CREB3,0.026285556802802493
TFAP4,0.02515471801596016
NFE2L3,0.02483357010428861
FOSL2,0.023023251500131993
NR2C2,0.020415954798710754
MSC,0.02021917356347085
MAFG,0.020192802938209055
HOXA9,0.020074734294699307
NFE2,0.019999441903785983
NCOA1,0.01973031955024418
CREBZF,0.019185868379722623
ATF2,0.018824960581572597
ELF1,0.018777418774901494
HNF1B,0.018596987474163617
IKZF1,0.018141719511642573
NFYB,0.018121953572114616
ETV7,0.017695779957696254
IRF1,0.017468645142719383
TLX2,0.017227914686240395
SREBF1,0.01717776324871586
RORC,0.016546289484817636
STAT1,0.016538070446533937
SP3,0.01606145685326245
PURA,0.015484009517748866
ELK4,0.015383065953045307
GFI1B,0.01520151863979518
SPI1,0.014902152455870009
E2F4,0.014687382409227507
IRF3,0.014320328960547213
ZBTB17,0.014133207916227575
GABPA,0.01409596916294321
TP53,0.013066356514472093
GATA1,0.012424727502874967
SREBF2,0.012286383407573334
ZNF225,0.011809241336021932
ONECUT2,0.011772992074505275
ZNF407,0.01130716903576481
IRF5,0.011300394637649955
SPIB,0.011217106653299027
KLF4,0.010949076076892494
TCF3,0.01087731310248874
ETV3,0.010871252852381011
THAP11,0.010786482280455492
NR3C1,0.010646570614032326
ETV5,0.010103535844166421
RXRA,0.010059079770335813
PATZ1,0.010019425287194466
E2F1,0.009895678484109566
ESRRA,0.00971793372506813
ELK3,0.009571928062372958
RARA,0.009556824928433282
LEF1,0.009520899179205075
GATA3,0.009483578389045573
HOXC9,0.009004157617814397
OTX2,0.008952562689464432
MBD2,0.008918779515672798
ELK1,0.008822930693978078
XBP1,0.008790265162723025
MAFK,0.008766103868731317
FLI1,0.008529748600844066
SETDB1,0.00846117088638789
NFYC,0.00840169027621351
MITF,0.008357103387361911
ATF1,0.00822515714065515
BACH2,0.00813522819736707
ATF5,0.00812615583950641
IRF8,0.0077938854575833015
E2F8,0.007778247044021236
NFIA,0.007725458056591188
ZNF367,0.007634940695020044
HOXB2,0.0075359643739894965
TAL1,0.007434054821489888
ELF4,0.00724713002675378
VEZF1,0.007166664166148131
ZNF354B,0.006564553965289461
RELB,0.006521493800655237
GMEB1,0.006513192846063881
TCF7L2,0.006484276239044204
POU2F1,0.006186624044766463
SP4,0.006172337470411262
BCL11A,0.0061464480342807905
NFKB2,0.006115913942317601
PAX2,0.00602115445195995
ETV6,0.006015159372658661
TEAD4,0.0059096623286885456
CEBPD,0.005872918417159006
E2F6,0.005778589446026148
HES1,0.005746662698571705
SMAD3,0.0054680265877165265
ZBTB20,0.005431807472894592
BHLHE41,0.005357265562022747
YY2,0.005280124843354407
E2F2,0.005203279279521894
EGR1,0.005175344030942768
REL,0.005142471707015534
ETV4,0.005044308412341716
PBX1,0.005038967835592481
ELF3,0.004854051962384191
CEBPG,0.004835702409108573
KLF12,0.004761355115167346
CEBPA,0.004702921714750584
MAFF,0.004610111982793441
IKZF2,0.004603985500684427
ZNF35,0.004598907517326416
LHX1,0.004390267550692236
ETS2,0.004313398600269056
E2F7,0.004225924230198044
POU2F2,0.004072060958022568
ZNF580,0.004068382718231669
MAFB,0.0040029061501948545
ATF3,0.00388319415430152
TFDP1,0.0038325765298639347
GATA2,0.003534356523419629
NHLH1,0.0034609894945255935
MBNL2,0.0034358768823028914
TCF7L1,0.0034189519927218816
HOXA10,0.003089617445242382
DBP,0.0030417394949574204
TCF4,0.002971727036411907
TP73,0.002831982186573438
IRF7,0.002771822621049747
ZNF354C,0.0026980772520246725
HOXC5,0.002670341779470876
CREB3L2,0.0026451405251986648
CEBPB,0.0022829112303518907
ETV2,0.002100929397811586
RFX5,0.0018463867721503302
ZBTB25,0.0012787567753163598
SOX4,0.0010140722683705976
TEAD3,0.0008577481796474799
POU6F1,0.0005045470052961265
