TF,mean_SHAP
GTF3A,0.1373496813764226
FOSB,0.10912673612312437
JUN,0.06567983356963902
FOXM1,0.039944574970670964
HMGA1,0.032775455585677474
FOS,0.012412466160499016
MAFG,0.010277341928854869
CREB3L3,0.005774098605653501
NFE2,0.003642761143253015
BATF,0.003604525800915332
KLF2,0.003495936808544247
E2F4,0.003340090954165954
NR2C2,0.0031007002121982235
SREBF1,0.003080773762764556
MSC,0.0030480311482626683
TP53,0.00296436684200922
FOSL2,0.0027655030307833944
HOXA9,0.002726353391580933
PURA,0.0024548025604441237
ZNF354B,0.0023562210078418534
IRF3,0.0023162631002416416
NR3C1,0.0021997982532378614
HNF1B,0.0021599981382955376
MAFK,0.0020892533633441023
SPI1,0.0020472554251162404
ELK4,0.0018364125838577197
IRF1,0.0017885657877883066
SREBF2,0.0017669346077884946
ETV7,0.0015502584510324053
FOXP3,0.0015448178974366538
MBD2,0.0014387203035382923
IKZF1,0.001426246199043871
ZNF407,0.0013148391058631927
PPARG,0.001313480281611238
ZNF225,0.0013093083750780332
LHX1,0.0012837838299459324
NFIA,0.0012464015024803627
TCF3,0.0009601087602729634
SP4,0.0008941880860349071
GMEB1,0.0008644221860475539
ETS2,0.0008373716890176565
E2F8,0.0008275110505214873
TFDP1,0.0007655124946006815
TLX2,0.0007548435016333167
MBNL2,0.0006740801251057707
NFKB2,0.0006551646896467132
SETDB1,0.0006299546143074848
TP73,0.0006160386249816463
ETV4,0.0005742012396736175
BCL11A,0.0005457468143891968
TAL1,0.0005163342291914939
PAX2,0.0005147861958771162
YY2,0.0005061650069192585
ATF3,0.000427300422837935
IRF5,0.00039508929883074113
MAFF,0.00032009686073896515
CREB3,0.0002975190078244939
NHLH1,0.0002968363200212562
SOX4,0.0002587323799529606
IRF7,0.0002571921734654505
TCF7L2,0.0002351865785534659
ZBTB25,0.0002292328680964771
E2F2,0.0001596599721558134
HOXC5,0.00014671896950618757
SPIB,0.0001308824175874243
VEZF1,0.00012835705788528723
NCOA1,9.825812135846338e-05
REL,9.459700801452538e-05
NFE2L3,7.142507853843461e-05
GABPA,7.130532805194358e-05
CEBPA,5.467293351463809e-05
TEAD3,5.382370686984284e-05
CEBPD,3.99526068352016e-05
LEF1,-7.641115984142472e-06
SP3,-1.3202393984636348e-05
HOXA10,-1.7463813634143677e-05
ELK3,-4.126475997229687e-05
ELF3,-4.8163268923989996e-05
CEBPB,-5.5791968024760606e-05
IKZF2,-6.540059807222264e-05
TEAD4,-7.283347113282119e-05
ELK1,-8.856134959752117e-05
ZNF35,-0.00010110756723789654
MAFB,-0.00010645957527650133
NFKB1,-0.00010669464085339077
ZBTB20,-0.00019083673681122475
CREB3L2,-0.00019310304886746115
TFAP4,-0.00020129376887798552
E2F7,-0.00020290139837673212
CEBPG,-0.00022415647718874204
PATZ1,-0.00023422573225700234
ATF5,-0.00025056779535674665
E2F6,-0.0003004452136697753
MITF,-0.0003012139648890584
POU6F1,-0.00032321400066660956
ZNF367,-0.0003246754364504631
ELF4,-0.0003317434146543183
TCF7L1,-0.0003322288410924114
RARA,-0.0003446620139604092
ETV3,-0.00040896040703118473
ETV6,-0.00044553403884978524
GATA2,-0.00045878452432676327
RFX5,-0.0004772425155210269
HES1,-0.00048459133449066437
DBP,-0.0005319196681449843
RXRA,-0.0005751391969026599
POU2F1,-0.0005766399155542101
KLF4,-0.0005845928603542094
PBX1,-0.0006259221644503125
ATF1,-0.0006447504123092101
STAT1,-0.0008149090017105876
ETV2,-0.0008522913779159086
BACH2,-0.0008753649603625098
ATF2,-0.0008815789386342082
ETV5,-0.0008960744424115913
NFYB,-0.0008962534901004568
HOXC9,-0.0009887064907100568
ZNF354C,-0.000991033525156038
OTX2,-0.0010062752092273649
KLF12,-0.0011571739495746442
RELB,-0.001221220821353825
CREBZF,-0.0013205262135828999
GATA1,-0.0014508148213084008
MYC,-0.0014866720447057134
RORC,-0.001724486936573577
BHLHE41,-0.0017666363046640859
TCF4,-0.0017877151694468119
IRF8,-0.0018011630182768435
ONECUT2,-0.0018434043051958266
POU2F2,-0.0019355932752897142
ZNF580,-0.0019384956371844943
EGR1,-0.002005825409290326
SMAD3,-0.0020701377691096767
NFYC,-0.00210457247067157
FLI1,-0.00213298432842642
XBP1,-0.0022836319552468854
ESRRA,-0.0028945348449846775
KLF6,-0.003010896882852868
HOXB2,-0.0030586000240391347
GFI1B,-0.003362195379740246
ZBTB17,-0.00371739842345005
GATA3,-0.004897257146692243
NFATC2,-0.005142489756888262
KLF13,-0.005522006738430238
ETS1,-0.005968773537658579
THAP11,-0.006697881967203119
ELF1,-0.007581616333989987
STAT5A,-0.00857872867455238
E2F1,-0.010307322757385226
MXD4,-0.011809999132516376
EOMES,-0.01263304565028258
YBX1,-0.01577695438498921
TBX21,-0.06426825743723551
JUND,-0.5421251909408195
