TF,mean_SHAP
JUND,1.0778665930790483
MXD4,0.5935896420039795
YBX1,0.5624757417519624
FOSB,0.22995168616244677
JUN,0.14160738895894442
FOS,0.14034331923151225
ETS1,0.09162402887432314
STAT5A,0.08216052236396058
STAT1,0.06124032125705938
KLF13,0.05109620838510359
THAP11,0.03437758246384361
EGR1,0.0331679091510903
TP53,0.02536376696473667
E2F1,0.024700307360944734
TFAP4,0.023431405055424577
ELK1,0.02225344376447577
NFYB,0.020169823913209813
ETV3,0.01921809294929921
IRF1,0.01796556749341441
ELK3,0.013982431931102532
GABPA,0.013600867333953034
IRF3,0.012336279666158245
ESRRA,0.011541953916929835
NFYC,0.011407543560016548
GATA3,0.011215924255794358
NR3C1,0.00947402413549264
HOXB2,0.009000484360263327
ZBTB17,0.008737206261641529
CREBZF,0.008412155843887827
ATF2,0.0068317544817739825
HES1,0.006769644964416299
SMAD3,0.006667932489544575
TFDP1,0.006182002891076682
OTX2,0.005498853761517385
POU2F2,0.005400926438055744
ZNF225,0.005378905130215272
RORC,0.005292109020877834
E2F7,0.004969533135234162
GMEB1,0.004658232860323814
TAL1,0.004630101909072308
TBX21,0.004617639403529333
LHX1,0.004419542062465328
DBP,0.0043889220060510225
GATA1,0.004292348514871172
TCF3,0.004046406864381689
ETV7,0.0039306064427503725
MBNL2,0.002956631519435879
ETV4,0.0029387840254248314
ZNF580,0.0029115340512324978
ATF3,0.002899864591720926
FLI1,0.00242134742009491
ZNF35,0.002300235447335981
MAFB,0.002071324144067179
ATF1,0.0020497218567337968
SOX4,0.0018748573578660519
CEBPB,0.0017230966592529692
TLX2,0.0015571341107518094
IRF7,0.0015431791422684863
TEAD3,0.0015423590899020171
ZBTB20,0.0014828647421665526
POU2F1,0.0014195911721761293
BCL11A,0.0012736831558480533
PAX2,0.0011249827346269394
YY2,0.0011167255080224432
MAFF,0.0008414211781749727
PBX1,0.0007463976758958554
IRF5,0.000725236797479777
MITF,0.0005962799717775622
FOXP3,0.0005756427872500722
RELB,0.0004712362050971437
E2F2,0.00027265861928783207
ETV2,-7.674264109448795e-06
HNF1B,-1.9370548366624135e-05
RXRA,-6.341909855290397e-05
POU6F1,-0.0002555976754441507
ETS2,-0.000280239244065453
BHLHE41,-0.00031614933123425617
GATA2,-0.0005224129239842053
MAFK,-0.0005522897949233967
E2F6,-0.0005936233419274674
ELF3,-0.0006153179280998607
VEZF1,-0.0006725844522098194
ZNF367,-0.000787382955489563
HOXC9,-0.0008205165902694497
KLF12,-0.0008889404044610027
NHLH1,-0.00099646183559397
ETV6,-0.001019091479667457
SP4,-0.0010901804164645552
TCF4,-0.0014058612543946028
IKZF2,-0.001560296405955462
RFX5,-0.0017659731843276355
TCF7L1,-0.0018174669001537406
CEBPA,-0.0020271478775385366
E2F4,-0.002117281564741452
TEAD4,-0.0023515887114003036
HOXC5,-0.0026329167398987164
TP73,-0.002654407716318355
ZBTB25,-0.002847525655907382
CEBPG,-0.0028731428911392253
ONECUT2,-0.0030001727625985587
ZNF354C,-0.0030977600844030767
SPIB,-0.003168290901454957
ETV5,-0.0031934174599899464
CREB3L2,-0.003350247558368526
KLF4,-0.00350198056073973
FOSL2,-0.004078018926883826
CREB3,-0.00439337843872273
RARA,-0.0046054350631196585
NFIA,-0.0046266943036242705
GFI1B,-0.004687841693469554
ELF4,-0.0052294489667594765
IRF8,-0.005405289695741303
TCF7L2,-0.005407698207080985
BACH2,-0.005450357630029372
E2F8,-0.005861969151207386
ATF5,-0.006167321355399511
ELF1,-0.006480652695114191
NCOA1,-0.006538951668624857
NFE2,-0.007364213206840549
HOXA9,-0.007968282696511978
PATZ1,-0.008318970206752044
SP3,-0.008696701074195606
NFKB2,-0.008955141761071315
IKZF1,-0.010156006009526354
CEBPD,-0.010611946671335668
ZNF354B,-0.011173227439509827
HOXA10,-0.011833441714372905
XBP1,-0.012488948495469818
LEF1,-0.014102020396828412
MSC,-0.01467693738898836
SETDB1,-0.015183324775595091
REL,-0.016073549692250846
SPI1,-0.01642179613787974
EOMES,-0.02326066248752333
NR2C2,-0.025047129724483783
SREBF2,-0.027225133422672382
SREBF1,-0.028225630589156586
ELK4,-0.02859009263054702
FOXM1,-0.028930802667246024
ZNF407,-0.02912783114052299
NFE2L3,-0.029459874806086018
MBD2,-0.042961703965467196
NFATC2,-0.0444917050943356
MYC,-0.051777593447449484
HMGA1,-0.054676164570140046
PURA,-0.05520392683868101
BATF,-0.06459874423155684
PPARG,-0.06541563898391178
NFKB1,-0.07513326005200152
MAFG,-0.09178393191518346
KLF6,-0.14259904346223953
KLF2,-0.34113623086265205
GTF3A,-0.503116479567289
CREB3L3,-0.5437890317334874
