TF,mean_abs_SHAP
JUND,1.2542309418180042
KLF2,0.5996976132963813
FOS,0.5110113027836699
JUN,0.5026432146179571
STAT5A,0.40269667884261906
FOSB,0.37902458146220225
CREB3L3,0.3651523899878658
YBX1,0.2808207261217062
TBX21,0.27752724734732914
GTF3A,0.2674441620049924
HMGA1,0.2542182230724878
MYC,0.11218736796169428
MXD4,0.10717822404338867
FOXM1,0.09224695845932418
NFATC2,0.08938113078818648
MSC,0.07946935501238798
KLF6,0.07351634948514348
EOMES,0.06917466006933369
PPARG,0.0634895447246311
BATF,0.05603590614756622
NFKB1,0.04875519597829136
MAFG,0.045735900471128764
EGR1,0.037988859600636075
NFE2L3,0.0376605106150367
STAT1,0.03711879634712537
FOXP3,0.03619832426766322
PURA,0.03346950528269457
KLF13,0.032437498975490524
MBD2,0.031377510026857965
ETS1,0.031066921907111907
HNF1B,0.03080654310683745
TLX2,0.030011850407776822
ETV7,0.029756185079530612
THAP11,0.029428647461286393
TFAP4,0.028825273884222614
CREB3,0.02814111756017158
IRF1,0.02608250639681458
TP53,0.025971773150536257
IKZF1,0.025618813119927156
FOSL2,0.02445634031947635
NFYB,0.02336537877430535
SP3,0.022429676120015077
FLI1,0.022397639398401416
GMEB1,0.022285447956258943
ELF1,0.02220927324389274
SPI1,0.021941954999302626
E2F4,0.02179761012419304
SREBF1,0.02080580478937323
IRF3,0.020225016218100134
ONECUT2,0.01784236892007164
OTX2,0.0176976171229691
ATF2,0.015805286698020317
PATZ1,0.01571360456182592
KLF4,0.01569225870692563
HOXC5,0.015478897054914526
SREBF2,0.015255066242117234
HOXA10,0.014878026511499593
RORC,0.013895524573113867
NR2C2,0.01325087615271165
SETDB1,0.01294070149448206
ZNF225,0.012807651766228422
HOXC9,0.012765575939505473
RXRA,0.012726367214893244
ZNF354B,0.012630633281384439
RARA,0.012604517889312508
XBP1,0.012431615387218018
ETV5,0.012203360068064056
ZNF407,0.012198518454318774
GFI1B,0.011187888496021679
ZBTB17,0.010560823143474918
POU2F1,0.010514092674163701
NFE2,0.010505687752493569
NR3C1,0.010409399357295103
REL,0.010366775775333386
TAL1,0.01033167096589151
GATA1,0.010258266445603625
NHLH1,0.010112323399835579
LHX1,0.009965950556861246
ATF1,0.009616310059956576
NFKB2,0.009408757052504648
ESRRA,0.00913395844059803
ATF3,0.009120946239161454
POU2F2,0.00901538917902235
GABPA,0.00887683651213345
E2F2,0.008855980368949213
MITF,0.008779280800401149
NFYC,0.008111914722696808
ELK3,0.007998952661346547
TCF3,0.007970402881398308
GATA3,0.007931337121838215
SP4,0.007821145755797992
ELF4,0.007777687919951687
E2F7,0.007721228282806393
E2F1,0.007714989358991351
CREBZF,0.007713090987558129
ZBTB25,0.007624684361768599
HOXB2,0.007577230859320885
SMAD3,0.007529214581515563
TFDP1,0.0075213815046563945
ATF5,0.007419648870285667
ETV4,0.0072906148919830525
RELB,0.0072729099373601645
SPIB,0.007227248027611763
CEBPB,0.007134661760655546
ETV3,0.006957030499394574
HES1,0.006936153723430508
ELK1,0.006800069407561492
E2F8,0.006790410284137388
NCOA1,0.00673075625001658
BACH2,0.006681235908292744
IRF8,0.006590137759930647
ZNF367,0.006359671554740098
ZNF354C,0.0061429572780579925
IRF5,0.005931755169553845
TCF7L2,0.005590619723734972
LEF1,0.005501120402443278
ELK4,0.005397843813325356
HOXA9,0.005305816484037582
KLF12,0.005300555898345881
E2F6,0.005082216576245041
CEBPG,0.004891543063393502
CREB3L2,0.004773155914720082
TP73,0.004704075745393404
MBNL2,0.004695384791633748
TEAD4,0.004486608282832125
PAX2,0.00447492920290698
BHLHE41,0.004202527805672061
IKZF2,0.004146685853482188
TCF7L1,0.004042775337844325
PBX1,0.004038745563286879
IRF7,0.003897160946886678
BCL11A,0.0038959828982746336
ETV6,0.003874345931690395
ETS2,0.003753771476707811
ZNF35,0.003730218224952125
NFIA,0.003711429567333126
CEBPD,0.0036155997195318323
GATA2,0.003363991011323421
ZNF580,0.0033246963347864722
TCF4,0.0032290865179518263
SOX4,0.0031652332826407376
MAFB,0.002643873460293196
ZBTB20,0.0025946428856108133
VEZF1,0.0025919886592229375
CEBPA,0.0025679539248437354
MAFK,0.0023134137944014277
ELF3,0.002257548193973793
RFX5,0.002097818789573881
DBP,0.0019342815489739324
MAFF,0.0019110375659231462
ETV2,0.001701963869104558
TEAD3,0.000972705256891561
YY2,0.0007380532787585861
POU6F1,0.0005862851417869098
